id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
415,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
416,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
417,9,15,0,0,0,0.375,51,24,0,0,0,0.68,1
418,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
419,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
420,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
421,20,8,0,0,0,0.7143,45,13,0,0,0,0.7759,1
422,23,0,0,0,0,1.0,31,0,0,0,0,1.0,1
423,5,1,0,0,0,0.8333,6,1,0,0,0,0.8571,1
424,2,4,0,0,0,0.3333,3,4,0,0,0,0.4286,0
425,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
426,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,0
427,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,0
428,23,9,0,0,0,0.7188,54,29,0,0,0,0.6506,1
429,30,4,0,0,0,0.8824,52,12,0,0,0,0.8125,0
430,9,15,0,0,0,0.375,51,24,0,0,0,0.68,1
431,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
432,11,0,0,0,0,1.0,14,0,0,0,0,1.0,1
433,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
434,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
435,34,0,0,0,0,1.0,34,0,0,0,0,1.0,0
436,23,0,0,0,0,1.0,31,0,0,0,0,1.0,1
437,2,0,0,0,0,1.0,2,0,0,0,0,1.0,0
438,1,0,0,0,0,1.0,14,1,0,0,0,0.9333,1
439,24,0,0,0,0,1.0,36,0,0,0,0,1.0,1
440,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
441,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
442,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
443,39,0,0,0,0,1.0,60,0,0,0,0,1.0,1
444,2,0,0,0,0,1.0,2,0,0,0,0,1.0,1
445,7,16,0,0,0,0.3043,53,26,0,0,0,0.6709,0
